compound,spacegroup_relax,Pearson_symbol_relax,Egap,Egap_type,volume_atom,density,volume_cell,agl_debye,agl_acoustic_debye,agl_gruneisen,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_conductivity_300K,agl_thermal_expansion_300K,agl_bulk_modulus_isothermal_300K,agl_bulk_modulus_static_300K,natoms,nspecies,energy_atom,enthalpy_formation_atom
Ag2I2,11,mP4,1.4666,insulator-indirect,29.3384,6.644,117.354,130.919,82.5248,2.56681,13.3503,11.9029,0.481152,0.000150494,23.5428,26.4055,4,2,-1.34484,
Ag2I2,186,hP4,2.0009,insulator-direct,36.7496,5.30413,146.998,91.0355,57.3264,2.45261,13.3904,11.9537,0.191901,0.000155028,17.491,19.5933,4,2,-1.41333,
Ag2In1La1,225,cF16,0.0,metal,23.8902,8.15775,95.5608,161.011,101.424,2.40582,12.5416,11.8415,0.956782,7.97432e-05,50.9111,53.9212,4,3,-2.37297,
Ag2In1Li1,225,cF16,0.0,metal,18.5635,7.54744,74.2541,169.103,106.463,2.58499,13.225,11.8373,0.62658,0.000144078,39.3584,43.9726,4,3,-1.5314,
Ag2In1Mg1,225,cF16,0.0,metal,19.3695,7.60552,77.4781,193.957,122.212,2.687,13.0405,11.7822,0.931927,0.000125735,44.8134,49.5995,4,3,-1.37801,
Ag2In1Sc1,225,cF16,0.0,metal,19.9027,7.83251,79.6109,176.936,111.503,2.43773,12.5008,11.8098,0.930198,7.75869e-05,63.7402,67.47,4,3,-2.37794,
Ag2In1Tb1,225,cF16,0.0,metal,21.4583,9.46959,85.833,173.076,108.983,2.38599,12.4676,11.8171,1.21589,7.47067e-05,60.0687,63.3749,4,3,-2.33058,
Ag2In1Y1,225,cF16,0.0,metal,21.4201,8.12943,85.6805,178.898,112.763,2.38541,12.4601,11.8044,1.15397,7.53168e-05,59.6959,63.0119,4,3,-2.79406,
Ag2In2O4,194,hP8,0.6242,insulator-indirect,15.3631,6.88202,122.905,270.026,135.0,2.27581,24.0486,23.0981,1.49327,5.93458e-05,99.186,103.268,8,3,-4.37448,-0.521758
Ag2In2S4,122,tI16,0.9202,insulator-direct,25.5567,4.65882,204.454,216.031,108.0,2.232,24.6353,23.4264,1.06485,7.53157e-05,46.7894,49.2039,8,3,-3.33969,
Ag2In2Te4,122,tI16,0.4011,insulator-direct,35.18,5.63922,281.44,152.09,76.0,2.32558,25.2431,23.7215,0.630393,8.90468e-05,30.2815,32.2239,8,3,-2.66599,
Ag2La1Si2,139,tI10,0.0,metal,20.2137,6.74959,101.069,328.135,191.816,2.32293,14.7725,14.1732,4.97276,5.99045e-05,73.9811,77.1096,5,3,-3.6671,
Ag2La2Pb2,186,hP6,0.0,metal,28.38,8.85413,170.28,198.927,109.514,2.30989,18.4722,17.6323,2.0517,6.76235e-05,48.1023,50.3937,6,3,-3.41904,
Ag2Li1Sn1,225,cF16,0.0,metal,19.191,7.38436,76.7642,181.88,114.653,2.54649,13.0696,11.8088,0.82723,0.000134283,39.8036,44.0533,4,3,-1.82971,
Ag2Li2,141,tI8,0.0,metal,16.7985,5.67447,67.194,176.895,111.503,2.31338,13.5579,11.8271,0.604212,0.00020103,27.3288,31.3283,4,2,-1.35115,
